"V1","V2"
-54,5.64
-51.9,5.02
-49.8,-5.85
-47.6,3.29
-45.5,-2.65
-43.4,-3.63
-41.2,-0.474
-39.1,-4.01
-37,-4.31
-34.8,-5.86
-32.7,-8.87
-30.6,-5.11
-28.5,3.72
-26.3,11.1
-24.2,24.4
-22.1,54.7
-20,193
-17.8,789
-15.7,3440
-13.6,11900
-11.5,21100
-9.35,35800
-7.23,38100
-5.11,44900
-2.99,57000
-0.876,61400
1.24,61400
3.35,53700
5.47,40900
7.58,30300
9.69,23700
11.8,24800
13.9,15200
16,4970
18.1,1220
20.2,368
22.4,145
24.5,65.4
26.6,25.9
28.7,1.17
30.8,-11.8
32.9,-28.8
35,-36.3
37.1,-39.5
39.2,-69.9
41.3,-99
43.4,-154
45.5,-195
47.6,-216
49.7,-183
51.8,-77.4
53.9,48.2
56,165
58.1,220
60.2,223
62.3,212
64.3,191
66.4,184
68.5,164
70.6,143
72.7,150
74.8,148
76.9,136
79,142
81.1,121
83.1,112
85.2,81.3
87.3,87.2
89.4,83.1
91.5,79.2
93.6,90
95.6,90.3
97.7,83.7
99.8,69.1
102,63.7
104,60.7
106,58.6
108,42.3
110,35.1
112,49.3
114,39.1
116,49.6
118,44.3
121,34.9
123,34.4
125,25.6
127,9.35
129,19.5
131,21.1
133,11.3
135,0.705
137,3.42
139,19.6
141,7.11
143,15.2
145,4.36
147,4.53
149,2.75
152,4.59
154,0.293
156,-15.4
158,-11.5
160,-8.1
162,-16.7
164,-3.45
166,25.4
168,27.3
170,23.1
172,27.2
174,13.8
176,-13.1
178,-32
180,-4.49
182,21.2
184,32.4
186,29.8
189,17.1
191,0.375
193,-20.1
195,-35.3
197,-20.3
199,-12.9
201,5.26
203,4.41
205,-13
207,5.1
209,19.2
211,26.3
213,21.2
215,6.12
217,2.5
219,-3.82
221,-5.26
223,-12.8
225,-26.3
227,-8.55
229,10.8
231,34.3
233,15.9
235,-16.6
237,-9.6
239,9.21
241,14.3
243,10.1
246,2.23
248,-33.9
250,-21.2
252,-15.9
254,13.6
256,27.8
258,18.5
260,0.293
262,11.5
264,1.29
266,6.24
268,19.1
270,13.1
272,-23
274,-34.2
276,-17.7
278,-8.27
280,-0.0371
282,-6.15
284,1.7
286,9.26
288,4.58
290,4.1
292,18.8
294,3.67
296,14.8
298,18.6
300,29.4
302,49
304,46.6
306,46.3
308,39.5
310,48.2
312,63.9
314,77.5
316,99.7
318,131
320,130
322,146
324,165
326,163
328,141
330,149
332,162
334,174
336,176
338,176
340,183
342,196
344,187
346,183
348,188
350,201
352,203
354,197
356,212
358,226
360,213
362,209
364,213
366,236
368,241
370,250
372,240
374,224
376,224
378,185
380,180
382,198
384,180
386,179
388,136
390,135
391,156
393,161
395,156
397,133
399,131
401,136
403,154
405,140
407,143
409,121
411,102
413,108
415,116
417,122
419,107
421,88.7
423,95
425,93.6
427,86.8
429,88.8
431,96.6
433,67.5
435,49.8
437,33.3
439,16.1
441,0.865
443,0.749
444,13.2
446,37.7
448,34.1
450,36.9
452,48.8
454,51.8
456,21
458,6.25
460,-10.3
462,-29
464,-34.6
466,-25.1
468,-19.6
470,-5.7
472,-13.6
474,4.05
476,20.4
478,26.3
480,35.8
481,32.2
483,18.9
485,15.9
487,10.4
489,0.426
491,-9.54
493,-11.3
495,-1.7
497,-4.54
499,17.7
501,13.2
503,10.5
505,-0.816
507,0.643
509,-7.15
511,4.08
512,-1.47
514,-3.96
516,-0.71
518,-0.43
520,-8.92
522,-39.5
524,-24.8
526,-0.602
528,25.3
530,18
532,12.8
534,29.9
536,-8.24
537,11.3
539,2.01
541,-6.55
543,-3.29
545,-6.28
547,10.5
549,20.8
551,4.69
553,18
555,23.5
557,27.1
559,5.7
560,9.12
562,24.1
564,18
566,33.1
568,32.6
570,38.1
572,16.9
574,11.3
576,7.9
578,-2.1
580,9.52
581,13.6
583,4.53
585,23.9
587,15.9
589,4.52
591,-6.25
593,-5
595,-15.1
597,-1.25
599,10.3
601,9.96
602,-8.5
604,20.5
606,0.52
608,16.1
610,16.6
612,13.9
614,-2.49
616,0.702
618,-3.88
619,-17
621,-7.67
623,-15.7
625,-16.1
627,-15.3
629,-10.1
631,-4.47
633,24.5
635,23.2
636,28.6
638,19.8
640,-2.96
642,8.66
644,8.32
646,15.2
648,11.2
650,5.15
652,-2.66
653,-3.81
655,-10.1
657,-4.19
659,17.9
661,31.5
663,36.1
665,35.3
667,25.6
668,11.9
670,3.67
672,-0.669
674,16.7
676,13.3
678,16.1
680,13.9
682,-2.2
683,-17.5
685,-30.1
687,-29.6
689,-16.4
691,0.593
693,42.9
695,45.9
696,26.7
698,-1.1
700,-34.3
702,-28.2
704,-10.2
706,24.5
708,37
709,44.2
711,37.6
713,17.3
715,-10.6
717,-18.2
719,-11.8
721,12.1
722,21.1
724,20.4
726,7.72
728,-2.65
730,12.5
732,20.4
734,19.3
735,-0.339
737,-5.61
739,-11.8
741,3.06
743,11.7
745,25.3
747,-1.54
748,-17.4
750,-29.4
752,-8.12
754,11.4
756,2.86
758,9.32
759,7.44
761,11.8
763,-5.61
765,-7.73
767,-6.43
769,0.189
770,10.9
772,22.7
774,21.4
776,9.67
778,-10.8
780,-13.3
782,-0.782
783,22
785,21.9
787,14
789,9.42
791,2.94
792,-10.4
794,-13.2
796,-3.37
798,3.63
800,23.4
802,26.8
803,18.2
805,1.53
807,-25
809,-14
811,-11.9
813,18.8
814,-0.99
816,3.74
818,27.5
820,26.5
822,17.6
824,12.4
825,-8.93
827,-23.4
829,-18.1
831,-7.07
833,5.96
834,4.9
836,5.27
838,14.3
840,18.2
842,3.35
843,-3.48
845,-6.3
847,-19
849,-10
851,-4.45
853,-4.25
854,20
856,12.4
858,7.92
860,3.9
862,2.84
863,9.33
865,-5.17
867,-6.64
869,-8.86
871,10.9
872,8.06
874,22.3
876,4.62
878,-0.237
880,2.72
881,9.87
883,12.2
885,15.4
887,5.47
889,-1.99
890,2.97
892,-17.6
894,-37.3
896,-31.1
898,2.56
899,23.8
901,27.9
903,28.2
905,14.3
907,5.15
908,-3.48
910,-9.21
912,-2.4
914,18.9
915,18.6
917,24.4
919,-4.7
921,-22.1
923,-18.4
924,-8.32
926,4.97
928,-4.43
930,4.27
932,-7.59
933,-3.76
935,3.26
937,1.21
939,20.1
940,40.4
942,-0.286
944,-5.06
946,4.92
948,-0.207
949,-3.6
951,-9.75
953,-31
955,-21.6
956,-10.2
958,10.8
960,20
962,30.3
964,31.2
965,39
967,17.7
969,16.1
971,3.78
972,-11.3
974,1
976,6.55
978,6.82
979,-6.56
981,-11.3
983,-15.9
985,-6.32
986,-7.77
988,2.15
990,-8.69
992,21
994,4.32
995,2.79
997,-1.79
999,-8.72
1000,-19.5
1000,4.16
1000,-1.55
1010,-2.98
1010,-5.3
1010,-3.49
1010,14.8
1010,21.6
1010,31.7
1020,30
1020,13.3
1020,7.84
1020,-12.9
1020,-30.5
1030,-27.4
1030,-41.7
1030,-14.1
1030,2.98
1030,-0.876
1030,15.2
1040,19.3
1040,26.1
1040,21.7
1040,9.81
1040,-3.33
1040,-7.23
1050,-0.952
1050,-6.81
1050,12.3
1050,10.6
1050,-0.621
1050,-10.8
1060,-16.9
1060,-3.31
1060,-8.95
1060,-15.1
1060,-24.1
1070,-15.5
1070,-11.5
1070,12.1
1070,14.7
1070,-7.52
1070,-13
1080,-18
1080,3.6
1080,22.9
1080,15.9
1080,7.9
1080,8.24
1090,3.19
1090,6.79
1090,-2.91
1090,-21.2
1090,-3.08
1090,-12.4
1100,-16
1100,-4.74
1100,3.71
1100,26.5
1100,35.8
1100,17.6
1110,-2.45
1110,-20.1
1110,-16.3
1110,-53
1110,-40.8
1120,-12.9
1120,24.8
1120,41.4
1120,58.3
1120,53
1120,29.8
1130,-3.04
1130,-29.6
1130,-77.5
1130,-79.5
1130,-52.1
1130,-7.65
1140,27
1140,39.4
1140,47
1140,35.2
1140,9.91
1140,-4.86
1150,-25.5
1150,-54.7
1150,-48.8
1150,-27.5
1150,43.8
1150,111
1160,97.7
1160,136
1160,179
1160,211
1160,252
1160,308
1170,336
1170,342
1170,338
1170,332
1170,332
1170,360
1180,426
1180,470
1180,498
1180,522
1180,561
1190,575
1190,566
1190,598
1190,646
1190,720
1190,770
1200,754
1200,811
1200,853
1200,889
1200,875
1200,890
1210,896
1210,862
1210,807
1210,817
1210,856
1210,870
1220,917
1220,1020
1220,1080
1220,1150
1220,1210
1220,1220
1230,1250
1230,1200
1230,1170
1230,1190
1230,1180
1230,1200
1240,1290
1240,1270
1240,1300
1240,1330
1240,1310
1240,1370
1250,1450
1250,1540
1250,1570
1250,1550
1250,1550
1250,1520
1260,1460
1260,1420
1260,1450
1260,1480
1260,1520
1260,1510
1270,1490
1270,1510
1270,1540
1270,1570
1270,1610
1270,1650
1280,1690
1280,1730
1280,1730
1280,1780
1280,1760
1280,1740
1290,1760
1290,1850
1290,1930
1290,2030
1290,2150
1290,2220
1300,2260
1300,2270
1300,2320
1300,2410
1300,2500
1300,2550
1310,2570
1310,2630
1310,2690
1310,2790
1310,2800
1310,2860
1320,2930
1320,3060
1320,3180
1320,3250
1320,3320
1320,3470
1330,3580
1330,3690
1330,3760
1330,3900
1330,4030
1330,4110
1340,4160
1340,4230
1340,4320
1340,4360
1340,4390
1340,4380
1350,4370
1350,4410
1350,4500
1350,4560
1350,4600
1350,4600
1350,4680
1360,4660
1360,4600
1360,4630
1360,4670
1360,4700
1360,4800
1370,4820
1370,4790
1370,4820
1370,4840
1370,4860
1370,4780
1380,4720
1380,4640
1380,4580
1380,4570
1380,4610
1380,4600
1390,4580
1390,4640
1390,4600
1390,4550
1390,4540
1390,4500
1400,4480
1400,4410
1400,4240
1400,4120
1400,4090
1400,4130
1410,4170
1410,4170
1410,4120
1410,3990
1410,3860
1410,3820
1420,3770
1420,3710
1420,3650
1420,3680
1420,3720
1420,3680
1420,3630
1430,3520
1430,3430
1430,3390
1430,3350
1430,3330
1430,3290
1440,3200
1440,3160
1440,3070
1440,3020
1440,3000
1440,2940
1450,2960
1450,2960
1450,2960
1450,2910
1450,2930
1450,2900
1460,2770
1460,2600
1460,2530
1460,2520
1460,2470
1460,2490
1460,2450
1470,2430
1470,2410
1470,2370
1470,2330
1470,2310
1470,2290
1480,2250
1480,2150
1480,2120
1480,2060
1480,1970
1480,1930
1490,1910
1490,1940
1490,1950
1490,2040
1490,2080
1490,2030
1500,1940
1500,1850
1500,1800
1500,1750
1500,1710
1500,1730
1500,1770
1510,1750
1510,1720
1510,1670
1510,1670
1510,1660
1510,1620
1520,1540
1520,1490
1520,1500
1520,1510
1520,1440
1520,1390
1530,1350
1530,1330
1530,1300
1530,1330
1530,1300
1530,1270
1530,1230
1540,1240
1540,1230
1540,1220
1540,1230
1540,1190
1540,1150
1550,1080
1550,979
1550,945
1550,927
1550,934
1550,928
1560,902
1560,860
1560,843
1560,833
1560,823
1560,815
1560,777
1570,756
1570,708
1570,675
1570,672
1570,672
1570,649
1580,644
1580,621
1580,575
1580,523
1580,480
1580,457
1580,410
1590,387
1590,357
1590,359
1590,335
1590,337
1590,322
1600,307
1600,327
1600,322
1600,303
1600,258
1600,211
1600,150
1610,109
1610,71.5
1610,72.4
1610,60.1
1610,56.6
1610,44.4
1620,46.3
1620,30.7
1620,20.6
1620,14.8
1620,2.8
1620,-13.8
1630,-18.2
1630,-28
1630,-6.75
1630,24.1
1630,23.6
1630,1.76
1630,-1.88
1640,-10.6
1640,-0.586
1640,-7.65
1640,-7.31
1640,-12.2
1640,-5.86
1650,-3.61
1650,-0.4
1650,-5.57
1650,3.26
1650,-7.84
1650,7.73
1650,2.89
1660,7.29
1660,11.4
1660,-1.93
1660,3.67
1660,-4.57
1660,-5.71
1670,-4.91
1670,-10.4
1670,-1.9
1670,-0.0205
1670,8.34
1670,10.3
1670,-6.33
1680,-9.67
1680,-16.6
1680,-18.5
1680,-5.87
1680,-8.8
1680,8.98
1680,4.1
1690,-0.5
1690,9
1690,21.9
1690,10.9
1690,11
1690,-5.82
1700,-15.8
1700,-9.1
1700,-0.28
1700,-10.1
1700,-2.97
1700,-3.34
1700,2.17
1710,0.557
1710,1.29
1710,0.206
1710,3.26
1710,4.87
1710,-1.84
1720,-6.53
1720,-9.39
1720,-13.7
1720,-10.3
1720,-2.67
1720,-5.84
1720,-0.585
1730,5.06
1730,6.49
1730,4.73
1730,-1.75
1730,3.31
1730,5.6
1730,3.86
1740,3.61
1740,1.2
1740,2.23
1740,2.51
1740,-4.54
1740,-4.98
1750,-8.03
1750,-7.43
1750,-3.17
1750,-5.51
1750,-2.14
1750,5.51
1750,2.88
1760,5.67
1760,2.16
1760,5.02
1760,0.666
1760,-4.92
1760,-6.81
1760,-1.13
1770,-3.35
1770,0.895
1770,-0.511
1770,-1.15
1770,-7.5
1770,-13.5
1780,-7.5
1780,-27.8
