"V1","V2"
-54,6.5
-51.9,3.23
-49.8,0.444
-47.6,2.73
-45.5,-4.75
-43.4,-3.21
-41.2,-1.84
-39.1,-5.2
-37,-3.55
-34.8,-9.53
-32.7,-6.56
-30.6,-8.21
-28.5,-1.07
-26.3,-0.363
-24.2,16.3
-22.1,35
-20,143
-17.8,803
-15.7,3840
-13.6,10700
-11.5,21900
-9.35,28800
-7.23,36200
-5.11,45800
-2.99,57000
-0.876,61400
1.24,61400
3.35,49400
5.47,40600
7.58,29100
9.69,23300
11.8,20400
13.9,12800
16,3750
18.1,990
20.2,281
22.4,103
24.5,39.4
26.6,4.23
28.7,-10.6
30.8,-23.6
32.9,-31.9
35,-37.9
37.1,-52.8
39.2,-82.7
41.3,-123
43.4,-166
45.5,-130
47.6,-53.8
49.7,75.3
51.8,276
53.9,489
56,660
58.1,753
60.2,762
62.3,703
64.3,644
66.4,584
68.5,526
70.6,477
72.7,462
74.8,442
76.9,423
79,417
81.1,418
83.1,416
85.2,421
87.3,438
89.4,465
91.5,481
93.6,528
95.6,573
97.7,633
99.8,679
102,736
104,767
106,774
108,734
110,682
112,598
114,491
116,398
118,313
121,257
123,218
125,184
127,167
129,147
131,127
133,111
135,96.7
137,86.4
139,85
141,79.6
143,70.6
145,65.8
147,69.3
149,68.6
152,75.8
154,80.5
156,89.6
158,111
160,140
162,175
164,230
166,296
168,345
170,390
172,407
174,408
176,377
178,345
180,295
182,239
184,189
186,145
189,121
191,94.2
193,76.7
195,45.7
197,43.2
199,38.4
201,32.2
203,32.5
205,32.7
207,31.2
209,24.6
211,33.8
213,30.1
215,31.7
217,33.7
219,23.3
221,18.3
223,24.5
225,24.5
227,24.9
229,34.7
231,35.6
233,48.4
235,53.5
237,68.3
239,92.6
241,118
243,161
246,192
248,211
250,223
252,220
254,212
256,206
258,179
260,157
262,126
264,96.4
266,68.9
268,55.9
270,27.9
272,20
274,13
276,10.2
278,5.05
280,3.9
282,-0.628
284,-8.63
286,-4.21
288,-8
290,-7.37
292,-5.4
294,-5.56
296,-2.13
298,1.04
300,6.01
302,7.37
304,9.31
306,22
308,23.5
310,33
312,56
314,73.5
316,99.7
318,128
320,128
322,128
324,111
326,87.5
328,58
330,49.2
332,47
334,31.6
336,32.1
338,21.4
340,19.2
342,14.9
344,8.46
346,6.16
348,6.23
350,-12.2
352,-3.97
354,-5.19
356,-2.97
358,-1.55
360,-1.16
362,1.11
364,2.37
366,1.7
368,3.52
370,17
372,12.2
374,8.92
376,14.7
378,22.2
380,28
382,37.8
384,56.5
386,83.9
388,110
390,168
391,271
393,454
395,733
397,984
399,1050
401,855
403,592
405,377
407,256
409,189
411,147
413,122
415,108
417,89.5
419,64.2
421,43.9
423,49.3
425,37.4
427,43.7
429,33.3
431,39.1
433,36.6
435,39
437,39
439,43.1
441,48.1
443,65.9
444,90.6
446,132
448,192
450,278
452,331
454,352
456,321
458,280
460,234
462,187
464,143
466,98.3
468,63.7
470,42.5
472,19
474,10.9
476,5.62
478,3.77
480,4.28
481,3.51
483,0.341
485,-1.29
487,-1.44
489,-3.18
491,-5.82
493,-5.85
495,-2.05
497,-1.18
499,0.211
501,1.22
503,1.09
505,-1.81
507,3.35
509,4.82
511,11.1
512,15.4
514,28.3
516,41.9
518,54.5
520,79.8
522,124
524,174
526,218
528,256
530,241
532,210
534,173
536,126
537,82.8
539,58.2
541,41.4
543,39
545,22
547,24.9
549,26.2
551,23.7
553,20.3
555,12.2
557,9.23
559,4.96
560,11.6
562,11.4
564,4.72
566,5.56
568,1.92
570,4.58
572,7.08
574,5.71
576,4.65
578,-1.25
580,-5.51
581,-3.54
583,-2.46
585,1.59
587,1.39
589,-4.15
591,-5
593,-2.56
595,-0.36
597,3.59
599,-0.37
601,-0.41
602,-0.0928
604,7.21
606,1.74
608,0.698
610,-0.655
612,7.15
614,1.98
616,-2.27
618,-3.88
619,-1.07
621,-5.34
623,-5.32
625,-1.29
627,4.02
629,-0.512
631,2.41
633,2.99
635,-2.06
636,5.5
638,-0.74
640,0.0332
642,3.59
644,7.16
646,2.11
648,-0.39
650,2.09
652,-2.94
653,-0.629
655,-6.3
657,-3.99
659,-0.457
661,1.87
663,7.82
665,5.78
667,2.73
668,0.254
670,3.53
672,-0.937
674,-1.16
676,2.57
678,1.42
680,3.69
682,1.45
683,-3.07
685,-5.61
687,-9.86
689,3.43
691,6.48
693,4.34
695,2.9
696,2.61
698,-2.66
700,-2.47
702,-6.17
704,-1.83
706,5.69
708,5.26
709,-1.19
711,2.87
713,-3.09
715,0.41
717,1.29
719,-1.28
721,11.1
722,7.58
724,-0.813
726,1.37
728,-2.72
730,-1.01
732,-2.99
734,-4.99
735,-4.57
737,-3.28
739,2.65
741,0.52
743,3.72
745,1.51
747,1.05
748,-2.16
750,-5.7
752,-0.693
754,-0.594
756,-3.97
758,-0.82
759,2.04
761,4.06
763,9.65
765,8.58
767,4.02
769,2.06
770,6.01
772,4.55
774,10.2
776,14.3
778,13.2
780,17.6
782,20.3
783,23.1
785,34.2
787,36.3
789,42
791,55
792,69.7
794,86.9
796,119
798,161
800,221
802,321
803,539
805,965
807,1560
809,1990
811,1990
813,1520
814,891
816,503
818,319
820,243
822,204
824,192
825,190
827,189
829,219
831,250
833,295
834,332
836,391
838,534
840,741
842,867
843,815
845,608
847,373
849,235
851,172
853,143
854,116
856,91.5
858,75.4
860,60.7
862,46.8
863,44.4
865,29.8
867,20.4
869,15.2
871,14
872,14.6
874,9.67
876,11.2
878,2.57
880,2.52
881,-0.346
883,0.235
885,-0.335
887,-0.394
889,-1.18
890,-3.61
892,3.2
894,14.5
896,39.1
898,66.3
899,80
901,87.3
903,67.7
905,46.6
907,18.4
908,6.68
910,-0.883
912,1.53
914,4.7
915,6.21
917,-4.18
919,-8.15
921,-8.78
923,-8.57
924,-6.16
926,-2.86
928,-1.78
930,-3.24
932,9.56
933,20.7
935,42.6
937,86.4
939,137
940,176
942,186
944,150
946,109
948,62.5
949,38.8
951,28.4
953,18.6
955,18.7
956,24.4
958,23.7
960,37.9
962,57.4
964,83.9
965,117
967,197
969,324
971,542
972,783
974,916
976,835
978,590
979,350
981,191
983,105
985,55.9
986,25.6
988,23.6
990,30.9
992,43.2
994,74.3
995,110
997,161
999,200
1000,201
1000,166
1000,112
1010,66.4
1010,34.5
1010,26.2
1010,15.7
1010,9.65
1010,3.73
1020,7.83
1020,4.54
1020,-2.07
1020,-3.53
1020,5.5
1030,11.2
1030,13
1030,16
1030,40.3
1030,76.9
1030,124
1040,170
1040,216
1040,217
1040,197
1040,178
1040,161
1050,136
1050,110
1050,77.3
1050,51.3
1050,24.9
1050,12.5
1060,4.33
1060,-9.12
1060,-8.13
1060,-10.2
1060,-10.5
1070,-5.16
1070,-5.23
1070,-1.77
1070,9.98
1070,-3.03
1070,-2.75
1080,-6.26
1080,3.37
1080,1.11
1080,-1.46
1080,-2.58
1080,6.47
1090,0.31
1090,-9.7
1090,-13.8
1090,-9.85
1090,-1.98
1090,-14
1100,-3.77
1100,10.6
1100,16.7
1100,28.5
1100,28.6
1100,24.4
1110,19
1110,11
1110,3.88
1110,-2.33
1110,-7.71
1120,3.66
1120,3.36
1120,0.592
1120,5.45
1120,6.74
1120,-8.06
1130,-8.45
1130,-9.37
1130,-14.3
1130,-16.8
1130,-13.5
1130,-21.1
1140,-2.95
1140,1.93
1140,22.2
1140,25.4
1140,40.9
1140,80.5
1150,116
1150,173
1150,248
1150,331
1150,405
1150,440
1160,423
1160,377
1160,368
1160,373
1160,418
1160,513
1170,658
1170,793
1170,834
1170,762
1170,561
1170,376
1180,236
1180,136
1180,69.6
1180,30.5
1180,16
1190,-5.38
1190,-19.1
1190,-16.8
1190,-10.3
1190,-0.227
1190,-0.267
1200,-3.63
1200,-3.87
1200,-3.03
1200,4.16
1200,-4.13
1200,-2.2
1210,4.55
1210,-3.02
1210,-13.4
1210,-0.734
1210,25
1210,48.7
1220,84.6
1220,146
1220,201
1220,243
1220,238
1220,185
1230,128
1230,73.1
1230,36.2
1230,15.8
1230,-3.1
1230,-16.1
1240,-5.64
1240,-8.21
1240,-7.72
1240,-9.04
1240,-8.17
1240,1.81
1250,11.6
1250,17.5
1250,30.2
1250,43.9
1250,81
1250,112
1260,137
1260,134
1260,107
1260,65.7
1260,29.1
1260,17.5
1270,-12.1
1270,-9.15
1270,-12.9
1270,-18.7
1270,-9.27
1270,-4.13
1280,6.97
1280,3.3
1280,11.2
1280,14.6
1280,9.1
1280,14.7
1290,22.6
1290,35.2
1290,66.9
1290,84
1290,97.9
1290,122
1300,143
1300,153
1300,152
1300,162
1300,188
1300,219
1310,240
1310,256
1310,248
1310,232
1310,216
1310,208
1320,215
1320,247
1320,264
1320,297
1320,339
1320,397
1330,464
1330,546
1330,649
1330,760
1330,800
1330,764
1340,691
1340,597
1340,533
1340,488
1340,474
1340,453
1350,428
1350,472
1350,431
1350,445
1350,452
1350,470
1350,488
1360,507
1360,536
1360,574
1360,583
1360,588
1360,571
1370,542
1370,493
1370,487
1370,488
1370,486
1370,481
1380,495
1380,492
1380,469
1380,445
1380,435
1380,430
1390,419
1390,405
1390,397
1390,387
1390,384
1390,383
1400,393
1400,357
1400,334
1400,329
1400,323
1400,326
1410,327
1410,322
1410,321
1410,300
1410,291
1410,287
1420,282
1420,278
1420,268
1420,266
1420,273
1420,272
1420,266
1430,256
1430,238
1430,241
1430,253
1430,273
1430,302
1440,324
1440,330
1440,311
1440,288
1440,269
1440,245
1450,251
1450,258
1450,279
1450,286
1450,314
1450,352
1460,387
1460,403
1460,432
1460,459
1460,453
1460,431
1460,390
1470,323
1470,267
1470,216
1470,180
1470,152
1470,125
1480,97.6
1480,75.5
1480,58.9
1480,36.8
1480,24.2
1480,38.6
1490,25.3
1490,28.7
1490,26.7
1490,29.4
1490,22
1490,14.5
1500,4.14
1500,-8.25
1500,-3.48
1500,-9.44
1500,-6.36
1500,2.38
1500,10.5
1510,9.67
1510,2.59
1510,-1.5
1510,-1.24
1510,-5.02
1510,-1.41
1520,-1.84
1520,-7.56
1520,-1.12
1520,4.56
1520,11.3
1520,6.58
1530,0.852
1530,1.01
1530,-8.6
1530,-8.24
1530,-6.03
1530,-0.944
1530,-7.05
1540,-3.2
1540,4.28
1540,11.4
1540,5.43
1540,7.62
1540,4.8
1550,0.0767
1550,-0.91
1550,-2.54
1550,-6.33
1550,2.8
1550,3.14
1560,-5.13
1560,-9.84
1560,-2.37
1560,-0.677
1560,-3.01
1560,3.13
1560,5.22
1570,4.16
1570,3.23
1570,-0.223
1570,-3.51
1570,-1.67
1570,3.01
1580,3.67
1580,2.41
1580,-4.3
1580,0.515
1580,-3.04
1580,8.18
1580,-3.53
1590,-8.12
1590,-3.48
1590,-5.18
1590,-5.73
1590,-4.94
1590,-1.04
1600,0.0176
1600,4
1600,8.86
1600,9.39
1600,9.09
1600,7.67
1600,2.43
1610,-9.12
1610,-9.04
1610,-3.48
1610,-2.03
1610,-4.04
1610,2.13
1620,2.34
1620,-5.01
1620,-1.71
1620,1.31
1620,5.77
1620,2.83
1630,1.4
1630,0.815
1630,-2.96
1630,3.26
1630,5.57
1630,-2.56
1630,-0.708
1640,-5.82
1640,-3.22
1640,-0.603
1640,-0.787
1640,0.934
1640,-3.24
1650,1.62
1650,0.137
1650,-4.57
1650,0.593
1650,2.39
1650,6.61
1650,0.934
1660,0.662
1660,-1.7
1660,-0.581
1660,4.31
1660,-5.5
1660,-2.75
1670,-0.867
1670,3.55
1670,-0.428
1670,0.019
1670,-3.29
1670,1.37
1670,-3.28
1680,-1.03
1680,-1.69
1680,4
1680,0.538
1680,-3.93
1680,1.75
1680,-1.63
1690,0.0435
1690,2.32
1690,4.12
1690,0.416
1690,1.48
1690,-0.792
1700,-1.92
1700,0.663
1700,2.86
1700,-2.44
1700,-2.28
1700,-1.35
1700,-1.6
1710,4.03
1710,0.0459
1710,-0.806
1710,-2.1
1710,-2.74
1710,-1.05
1720,-0.671
1720,-2.22
1720,0.418
1720,-0.116
1720,1.09
1720,-1.87
1720,5.45
1730,3.8
1730,-1.07
1730,-0.457
1730,-1.47
1730,1.03
1730,-4.52
1730,1.96
1740,0.393
1740,3.17
1740,1.93
1740,-0.135
1740,0.208
1740,4.14
1750,-3.66
1750,0.979
1750,-2.87
1750,-2.19
1750,-1.1
1750,2.92
1750,-1.28
1760,-0.378
1760,0.798
1760,0.219
1760,3.52
1760,3.31
1760,-1.62
1760,-0.0535
1770,0.767
1770,0.333
1770,-0.644
1770,0.811
1770,-0.0303
1770,-1.08
1780,-3.83
1780,-12
