"V1","V2"
616,-2.13
618,-2.12
620,-2.74
622,2.81
624,-0.932
626,-4.11
628,-0.0822
630,-2.37
632,1.9
634,3.09
636,6.31
638,3.39
639,4.34
641,4.64
643,4.11
645,4.98
647,6.12
649,8.45
651,4
653,5.74
655,5.95
657,7.51
659,10.3
660,10.5
662,14.8
664,13.4
666,20.4
668,27.2
670,27.1
672,32.8
674,32.2
676,41.3
678,46.5
679,62
681,78.6
683,97.8
685,103
687,111
689,106
691,104
693,99.7
695,97.4
697,115
698,133
700,158
702,193
704,243
706,305
708,407
710,373
712,319
714,257
716,171
717,112
719,81.2
721,54.9
723,43
725,31.5
727,19.9
729,15.6
731,11.9
733,13.9
734,12
736,9.54
738,8.34
740,4.95
742,4.81
744,2.02
746,0.23
748,1.34
749,1.5
751,0.907
753,1.02
755,2.52
757,0.969
759,0.801
761,-1.16
763,-2.48
765,-1.54
766,-2.6
768,-2.2
770,1.84
772,8.74
774,9.99
776,8.45
778,12.7
780,19.8
781,31.1
783,41.9
785,48
787,50.2
789,51.4
791,52.9
793,50.9
795,48.8
796,46.2
798,38.7
800,31.7
802,28.4
804,26
806,21.9
808,20.6
809,17.7
811,12.6
813,9.78
815,9.75
817,12.3
819,12.8
821,7.75
823,8.58
824,1.66
826,1.29
828,-1.43
830,3.3
832,4.14
834,6.82
836,2.41
837,-1.66
839,-0.567
841,4.17
843,2.46
845,7.17
847,5.13
849,8.93
850,10.5
852,16.1
854,16.8
856,20.3
858,17.8
860,24.1
862,28.9
863,28.4
865,29.4
867,28.8
869,22.6
871,19.4
873,14.3
874,12.3
876,13.1
878,13.8
880,13.1
882,12.3
884,6.95
886,6.65
887,4.61
889,3.47
891,5.02
893,4.23
895,5.28
897,1.69
898,-0.153
900,-0.381
902,2.39
904,2.32
906,3.64
908,-1.83
910,-0.702
911,-0.223
913,-1.64
915,1.69
917,1.47
919,1.96
921,1.44
922,1.33
924,-2.83
926,-0.695
928,-1.06
930,0.135
932,3.48
933,1.47
935,5.16
937,-0.493
939,2
941,2
943,0.447
944,-3.25
946,-1.06
948,-0.305
950,1.2
952,-0.801
954,2.15
955,-0.243
957,2.91
959,1.32
961,0.777
963,-0.165
964,3.89
966,1.31
968,-1.43
970,0.578
972,-2.11
974,-0.85
975,-1.12
977,-1.93
979,-0.942
981,2.32
983,-1.23
985,-1.37
986,1.18
988,1.74
990,1.88
992,0.972
994,0.978
995,1.19
997,0.469
999,0.5
1000,-0.812
1000,-0.0692
1000,-0.0211
1010,1.63
1010,1.49
1010,3.6
1010,4.76
1010,3.93
1020,1.64
1020,0.559
1020,-2.72
1020,-1.45
1020,1.43
1020,3.26
1030,2.29
1030,1.58
1030,-0.636
1030,4.15
1030,2.54
1040,4.89
1040,2.83
1040,0.179
1040,1.68
1040,-3.42
1040,-1.42
1050,-0.316
1050,-2.01
1050,-1.8
1050,0.453
1050,2.44
1060,2.4
1060,1.22
1060,-0.771
1060,-2.23
1060,0.739
1060,1.32
1070,-0.782
1070,0.724
1070,-0.259
1070,0.815
1070,0.246
1070,2.38
1080,3.43
1080,2.88
1080,5.68
1080,5.08
1080,4.35
1090,3.46
1090,4.83
1090,6.9
1090,4.42
1090,7.55
1090,3.38
1100,3.76
1100,3.5
1100,0.533
1100,3.42
1100,2.01
1110,2.11
1110,0.901
1110,-1.2
1110,1.55
1110,-1.1
1110,2.15
1120,0.103
1120,0.958
1120,-0.885
1120,-1.58
1120,-1.92
1130,-0.655
1130,1.16
1130,2.57
1130,-1.01
1130,1.55
1130,6.37
1140,3.14
1140,-1.14
1140,-1.87
1140,1.96
1140,0.331
1140,2.31
1150,3.38
1150,0.761
1150,0.69
1150,-1.98
1150,0.901
1160,3.68
1160,5.27
1160,7.5
1160,5.69
1160,4.82
1160,3.11
1170,0.398
1170,3.24
1170,-0.672
1170,-1.28
1170,-4.84
1170,-1.45
1180,1.2
1180,2.19
1180,3.99
1180,3.58
1180,-0.538
1190,-1.23
1190,-1.46
1190,-2.92
1190,-1.7
1190,-3.87
1190,0.773
1200,-2.27
1200,-0.0403
1200,2.73
1200,3.64
1200,5.03
1200,3.35
1210,1.58
1210,1.18
1210,1.59
1210,-2.1
1210,-1.67
1220,-1.84
1220,-0.011
1220,1.43
1220,-1.68
1220,-1.58
1220,-1.53
1230,1.78
1230,5.69
1230,5.15
1230,4.02
1230,1.63
1230,1.48
1240,1.09
1240,5.09
1240,5.4
1240,3.45
1240,4.41
1250,2.86
1250,4.17
1250,4.82
1250,5.08
1250,6.14
1250,3.99
1260,11
1260,19.7
1260,23.7
1260,31
1260,28.3
1260,30.6
1270,32.6
1270,31
1270,22.5
1270,9.09
1270,4.65
1270,1.3
1280,1.86
1280,1.47
1280,0.0209
1280,3.43
1280,1.43
1290,-0.163
1290,-2.71
1290,-1.95
1290,-2.1
1290,0.508
1290,-0.336
1300,5.57
1300,1.55
1300,1.33
1300,3.62
1300,0.233
1300,-0.66
1310,-2.39
1310,-3.02
1310,-1.49
1310,-5.05
1310,2.99
1310,1.35
1320,1.51
1320,0.515
1320,3.71
1320,1.02
1320,0.737
1330,0.911
1330,-1.06
