"V1","V2"
616,1.08
618,0.298
620,-0.0547
622,-0.155
624,-0.89
626,-2.55
628,-4.22
630,-4.82
632,-4.38
634,-2.12
636,2.43
638,9.43
639,19.1
641,29.3
643,34.3
645,30.9
647,22.3
649,13.7
651,7.84
653,5.31
655,5.71
657,6.86
659,6.58
660,5.65
662,5.82
664,7.23
666,9.24
668,11.3
670,13.1
672,14.9
674,17.6
676,25.6
678,48.6
679,98.9
681,179
683,264
685,309
687,285
689,213
691,138
693,87.1
695,60
697,48.2
698,45.3
700,48.4
702,56.8
704,70.7
706,86.1
708,93
710,83.9
712,62.8
714,41.5
716,27.9
717,22.1
719,20
721,19.4
723,20
725,20.2
727,20
729,23.1
731,33.6
733,50.1
734,68.4
736,89.2
738,115
740,138
742,138
744,108
746,67.3
748,38.6
749,26.4
751,23
753,22.3
755,21.1
757,17.5
759,13.2
761,10.9
763,11.3
765,13.2
766,17.2
768,25.7
770,42
772,69.5
774,107
776,142
778,152
780,126
781,82
783,45.4
785,27.5
787,21.7
789,19.2
791,17.2
793,15.5
795,13.4
796,10.8
798,9.49
800,11.6
802,18.6
804,31.9
806,51.6
808,72.7
809,86.2
811,87.2
813,81.1
815,77.4
817,78.5
819,77.7
821,69.9
823,57.8
824,44.7
826,32.1
828,22.2
830,17.1
832,15.8
834,15.4
836,14.6
837,14.2
839,14.7
841,15.5
843,14.9
845,12.3
847,8.8
849,6.57
850,5.66
852,4.96
854,3.81
856,2.59
858,2.12
860,2.21
862,1.78
863,0.647
865,-0.515
867,-1.15
869,-0.832
871,0.602
873,2.23
874,3.28
876,3.89
878,3.86
880,3
882,2.42
884,2.69
886,2.72
887,1.81
889,0.439
891,-0.337
893,-0.037
895,0.292
897,-0.285
898,-1.39
900,-2.35
902,-2.64
904,-1.84
906,-0.364
908,0.771
910,1.44
911,1.61
913,0.759
915,-0.307
917,-0.071
919,1.33
921,2.5
922,3.07
924,3.53
926,3.67
928,3.49
930,3.7
932,3.97
933,3.92
935,4.92
937,7.6
939,10.4
941,11.8
943,11.8
944,10.6
946,9.01
948,8.22
950,8.27
952,8.92
954,11
955,14.8
957,19.6
959,24.5
961,28.3
963,29.5
964,27.8
966,25.2
968,24.6
970,29.8
972,41.7
974,57.5
975,74.1
977,91.8
979,108
981,113
983,95.8
985,62.1
986,30.3
988,12.4
990,5.72
992,2.81
994,1.25
995,1.42
997,2.6
999,3.48
1000,3.75
1000,3.96
1000,4.52
1010,4.99
1010,4.53
1010,2.96
1010,0.763
1010,-1.07
1020,-1.28
1020,0.225
1020,1.9
1020,2.33
1020,1.72
1020,0.683
1030,-0.384
1030,-1.06
1030,-1.15
1030,-0.205
1030,2.17
1040,5
1040,6.91
1040,7.19
1040,6.24
1040,5.07
1040,3.74
1050,1.96
1050,0.18
1050,-0.803
1050,-1.09
1050,-1.66
1060,-2.5
1060,-2.28
1060,-0.517
1060,1.43
1060,2.31
1060,1.87
1070,0.772
1070,-0.0634
1070,0.163
1070,1.9
1070,4.31
1070,6.14
1080,8.78
1080,16.9
1080,35.9
1080,65.4
1080,92.1
1090,96.8
1090,76
1090,46.4
1090,24.8
1090,14.3
1090,10.5
1100,9.96
1100,10.3
1100,9.65
1100,7.94
1100,6.31
1110,5.49
1110,4.84
1110,3.13
1110,0.815
1110,0.0212
1110,0.488
1120,0.427
1120,-0.0173
1120,-0.232
1120,-0.507
1120,-1.21
1130,-1.81
1130,-1.62
1130,-0.913
1130,-0.76
1130,-0.567
1130,0.589
1140,1.23
1140,-0.227
1140,-2.5
1140,-2.85
1140,-0.634
1140,1.9
1150,2.22
1150,0.274
1150,-1.58
1150,-1.57
1150,0.0407
1160,2.05
1160,2.69
1160,2.22
1160,2.02
1160,3.98
1160,9.51
1170,18
1170,27.2
1170,33.7
1170,33.9
1170,27.4
1170,17.5
1180,8.42
1180,3.09
1180,1.58
1180,2.94
1180,6.2
1190,11.4
1190,18.5
1190,24.8
1190,27.5
1190,27.3
1190,27.3
1200,29.8
1200,36.3
1200,47.5
1200,61.1
1200,75.1
1200,91.3
1210,116
1210,160
1210,234
1210,338
1210,448
1220,512
1220,491
1220,397
1220,285
1220,199
1220,142
1230,102
1230,68.8
1230,42.6
1230,25.6
1230,16.1
1230,10.9
1240,7.59
1240,5.48
1240,3.85
1240,1.83
1240,-0.619
1250,-2.25
1250,-2.19
1250,-0.991
1250,0.225
1250,0.723
1250,1.31
1260,3.19
1260,5.84
1260,7.64
1260,8.01
1260,7.61
1260,8.03
1270,10.5
1270,14.4
1270,18.5
1270,22.9
1270,29.1
1270,40.2
1280,60.6
1280,92.2
1280,132
1280,169
1280,193
1290,195
1290,183
1290,169
1290,163
1290,166
1290,169
1300,161
1300,140
1300,112
1300,87.4
1300,71.9
1300,64
1310,60.7
1310,58
1310,52.5
1310,44.7
1310,38.6
1310,37.9
1320,43
1320,50.1
1320,54.2
1320,53.4
1320,50.6
1330,50.3
1330,56.8
1330,70
1330,86.7
1330,104
1330,124
1340,149
1340,180
1340,207
1340,215
1340,198
1340,164
1350,129
1350,101
1350,78.2
