"V1","V2"
616,-0.154
618,0.0992
620,0.302
622,0.229
624,-0.0544
626,-0.234
628,-0.0983
630,0.438
632,1.11
634,1.37
636,1.02
638,0.528
639,0.371
641,0.596
643,1.13
645,1.66
647,1.63
649,1.12
651,0.731
653,0.57
655,0.353
657,0.121
659,0.127
660,0.302
662,0.449
664,0.638
666,0.85
668,0.753
670,0.185
672,-0.522
674,-0.906
676,-0.859
678,-0.589
679,-0.272
681,0.0637
683,0.358
685,0.528
687,0.604
689,0.602
691,0.443
693,0.0605
695,-0.238
697,-0.17
698,0.0596
700,0.227
702,0.261
704,0.151
706,0.122
708,0.391
710,0.813
712,1.09
714,1.1
716,0.874
717,0.644
719,0.508
721,0.269
723,-0.0751
725,-0.21
727,0.0715
729,0.613
731,0.942
733,0.735
734,0.291
736,0.136
738,0.169
740,0.0515
742,-0.0889
744,-0.141
746,-0.13
748,0.0322
749,0.128
751,0.103
753,0.174
755,0.184
757,-0.069
759,-0.29
761,-0.2
763,0.0014
765,0.0529
766,-0.0272
768,-0.0883
770,0.0702
772,0.286
774,0.265
776,0.012
778,-0.247
780,-0.444
781,-0.556
783,-0.483
785,-0.224
787,-0.0515
789,-0.123
791,-0.113
793,0.225
795,0.594
796,0.654
798,0.473
800,0.258
802,0.0297
804,0.715
806,3.35
808,5.38
809,6.1
811,10
813,13.8
815,10.3
817,3.99
819,1.35
821,1.01
823,0.671
824,0.216
826,-0.0435
828,-0.196
830,-0.321
832,-0.145
834,0.261
836,0.474
837,0.434
839,0.403
841,0.455
843,0.544
845,0.668
847,0.62
849,0.235
850,-0.135
852,-0.101
854,0.152
856,0.24
858,0.137
860,0.0751
862,0.151
863,0.27
865,0.34
867,0.236
869,-0.0312
871,-0.107
873,0.0364
874,0.0209
876,-0.15
878,-0.274
880,-0.297
882,-0.181
884,0.0665
886,0.353
887,0.428
889,0.229
891,0.0143
893,-0.109
895,-0.167
897,-0.056
898,0.24
900,0.43
902,0.29
904,0.109
906,0.142
908,0.253
910,0.4
911,0.554
913,0.553
915,0.389
917,0.17
919,-0.0635
921,-0.296
922,-0.393
924,-0.173
926,0.1
928,0.133
930,0.015
932,-0.18
933,-0.32
935,-0.11
937,0.259
939,0.372
941,0.173
943,-0.125
944,-0.236
946,-0.0957
948,0.101
950,0.235
952,0.38
954,0.662
955,0.952
957,0.917
959,0.681
961,0.614
963,0.612
964,0.375
966,-0.0306
968,-0.207
970,-0.0022
972,0.152
974,-0.176
975,-0.59
977,-0.645
979,-0.451
981,-0.245
983,0.051
985,0.466
986,0.679
988,0.497
990,0.188
992,0.0884
994,0.161
995,0.17
997,0.212
999,0.428
1000,0.566
1000,0.542
1000,0.575
1010,0.545
1010,0.324
1010,0.0977
1010,-0.0567
1010,-0.0329
1020,0.125
1020,0.0559
1020,-0.117
1020,-0.0169
1020,0.12
1020,0.0861
1030,0.146
1030,0.293
1030,0.331
1030,0.335
1030,0.254
1040,-0.0132
1040,-0.221
1040,-0.185
1040,-0.00427
1040,0.211
1040,0.339
1050,0.315
1050,0.257
1050,0.234
1050,0.149
1050,-0.111
1060,-0.443
1060,-0.499
1060,-0.13
1060,0.295
1060,0.396
1060,0.346
1070,0.426
1070,0.493
1070,0.392
1070,0.188
1070,-0.00311
1070,-0.0748
1080,-0.071
1080,-0.0759
1080,-0.0926
1080,-0.223
1080,-0.375
1090,-0.239
1090,0.11
1090,0.366
1090,0.422
1090,0.234
1090,-0.0245
1100,0.0487
1100,0.385
1100,0.448
1100,0.198
1100,0.0914
1110,0.136
1110,0.0549
1110,-0.085
1110,-0.0212
1110,0.309
1110,0.48
1120,0.169
1120,-0.252
1120,-0.487
1120,-0.529
1120,-0.318
1130,0.0254
1130,0.315
1130,0.484
1130,0.334
1130,-0.0475
1130,-0.0222
1140,0.441
1140,0.589
1140,0.327
1140,0.141
1140,0.109
1140,0.124
1150,0.264
1150,0.442
1150,0.393
1150,0.21
1150,0.0871
1160,-0.0256
1160,-0.0746
1160,-0.038
1160,-0.0883
1160,-0.25
1160,-0.304
1170,-0.144
1170,-0.0158
1170,0.00964
1170,0.138
1170,0.286
1170,0.249
1180,0.163
1180,0.283
1180,0.45
1180,0.335
1180,0.128
1190,0.142
1190,0.241
1190,0.133
1190,-0.119
1190,-0.22
1190,-0.165
1200,-0.00989
1200,0.236
1200,0.273
1200,0.0352
1200,-0.149
1200,-0.156
1210,-0.0552
1210,0.0954
