"V1","V2"
1770,18.9
1770,8.67
1780,-0.645
1780,10.7
1780,-3.25
1780,-9.78
1780,12.7
1780,2.14
1790,-4.95
1790,-6.42
1790,-8.68
1790,-11.6
1790,4.82
1790,1.98
1790,4.1
1800,5.15
1800,11.8
1800,4.71
1800,-10.1
1800,-0.162
1800,-4.85
1810,2.3
1810,-0.6
1810,-5.08
1810,-3.68
1810,-5.36
1810,14.3
1810,-4.78
1820,-6.23
1820,2.42
1820,4.97
1820,-4.34
1820,-0.529
1820,3.12
1830,-0.51
1830,-4
1830,0.0537
1830,1.95
1830,8.84
1830,0.447
1830,1.63
1840,-6.62
1840,-7.89
1840,5.2
1840,0.211
1840,9.32
1840,-4.02
1850,-10.9
1850,10.3
1850,0.595
1850,2.91
1850,2.26
1850,1.22
1850,-4.25
1860,-9.16
1860,-2.25
1860,4.09
1860,0.592
1860,3.5
1860,1.88
1860,4.23
1870,0.184
1870,-0.533
1870,-1.81
1870,3.78
1870,-2.21
1870,-13.9
1880,17.8
1880,8.99
1880,-8.59
1880,2.32
1880,-3.83
1880,-1.73
1880,-4.34
1890,2.47
1890,1.46
1890,-3.18
1890,2.1
1890,-3.62
1890,-0.0215
1890,6.29
1900,-0.48
1900,9.27
1900,8.16
1900,0.38
1900,2.47
1900,3.88
1910,-3.15
1910,-6.28
1910,-1.03
1910,2.48
1910,-5.09
1910,-5.18
1910,2.9
1920,-1.82
1920,-0.553
1920,7.02
1920,-1.2
1920,6.5
1920,-0.487
1920,-10.3
1930,4.1
1930,9.26
1930,0.44
1930,-0.735
1930,-4.15
1930,2.09
1940,-0.226
1940,3.69
1940,0.639
1940,2.79
1940,-1.18
1940,9.03
1940,-4.52
1950,-2.55
1950,-0.3
1950,-2.29
1950,-3
1950,0.71
1950,-3.18
1950,-2.59
1960,-2.88
1960,-0.952
1960,11.1
1960,5.48
1960,-2.23
1960,2.9
1960,-4.92
1970,5.77
1970,-6.81
1970,4.65
1970,1.11
1970,-6.34
1970,-4.29
1970,3.87
1980,0.146
1980,-2.57
1980,1.03
1980,5.34
1980,3.57
1980,-3.58
1990,4.6
1990,1.23
1990,2.02
1990,-3.04
1990,-1.12
1990,5.69
1990,4.98
2000,-7.63
2000,-0.708
2000,-4.15
2000,-1.87
2000,-1.05
2000,7.34
2000,-2.33
2010,-0.169
2010,4.69
2010,1.15
2010,4.42
2010,-5.02
2010,-0.248
2010,-0.677
2020,-3
2020,6.37
2020,-1.95
2020,3.33
2020,0.404
2020,-1.22
2020,0.358
2030,-0.361
2030,1.92
2030,0.109
2030,1
2030,-3.11
2030,3.89
2030,-0.61
2040,-1.71
2040,2.2
2040,12.2
2040,-2.27
2040,0.837
2040,0.25
2050,-1.23
2050,-0.511
2050,9.52
2050,0.451
2050,-6.21
2050,0.538
2050,4.49
2060,4
2060,-0.786
2060,-2.07
2060,-1.35
2060,-2.42
2060,-4.98
2060,7.06
2070,3.4
2070,-0.0435
2070,1.62
2070,-2.51
2070,9.08
2070,4.17
2070,-5.41
2080,1.62
2080,3.47
2080,-2.35
2080,2.15
2080,-0.438
2080,-4.71
2080,1.67
2090,1.85
2090,6.72
2090,-1.15
2090,-1.72
2090,-3.48
