"Sample","Drain","Site","Rep","Vol","Fragment.Count","Fragment.L","Film.Count","Film.L","Bead.Count","Bead.L","Fibre.Count","Blank.deduction","Fibre.Blank.Correction","Fibre.L","Total.MP.Blank.Correct","counts_corr","counts_corr_perL","count_corr_across_sizes","count_corr_across_sizes.L","catchment_area","catchment_pop","residential","industrial","services","agricultural","natural","public_open","rainfall"
"B1.1","B","B1","1",10,0,0,0,0,0,0,87,0,87,8.7,87,39,3.9,175,17.5,1088.59,21039,57.98,31.39,2.15,0,0,8.49,31.2
"B1.2","B","B1","2",10,0,0,0,0,0,0,81,1,80,8,80,44,4.4,139,13.9,1088.59,21039,57.98,31.39,2.15,0,0,8.49,31.2
"B1.3","B","B1","3",10,2,0.2,0,0,0,0,76,0,76,7.6,78,38,3.8,104,10.4,1088.59,21039,57.98,31.39,2.15,0,0,8.49,31.2
"B2.1","B","B2","1",10,0,0,0,0,0,0,50,1,49,4.9,49,25,2.5,85,8.5,1105.38,21372,57.7,30.92,2.11,0,0.1,9.16,31.2
"B2.2","B","B2","2",10,1,0.1,0,0,0,0,30,0,30,3,31,15,1.5,95,9.5,1105.38,21372,57.7,30.92,2.11,0,0.1,9.16,31.2
"B2.3","B","B2","3",10,6,0.6,0,0,0,0,94,2,92,9.2,98,50,5,156,15.6,1105.38,21372,57.7,30.92,2.11,0,0.1,9.16,31.2
"C1.1","C","C1","1",10,3,0.3,0,0,0,0,90,1,89,8.9,92,53,5.3,196,19.6,1458.56,34370,76.8,1.35,3.88,0,1.35,16.63,56.8
"C1.2","C","C1","2",10,0,0,0,0,0,0,12,0,12,1.2,12,7,0.7,90,9,1458.56,34370,76.8,1.35,3.88,0,1.35,16.63,56.8
"C1.3","C","C1","3",10,0,0,0,0,0,0,16,1,15,1.5,15,9,0.9,155,15.5,1458.56,34370,76.8,1.35,3.88,0,1.35,16.63,56.8
"C2.1","C","C2","1",10,0,0,0,0,0,0,43,1,42,4.2,42,15,1.5,143,14.3,989.97,24548,77.66,0,2.95,0,1.47,17.91,11.4
"C2.2","C","C2","2",10,7,0.7,0,0,0,0,56,1,55,5.5,62,30,3,120,12,989.97,24548,77.66,0,2.95,0,1.47,17.91,11.4
"C2.3","C","C2","3",10,2,0.2,0,0,0,0,55,1,54,5.4,56,29,2.9,66,6.6,989.97,24548,77.66,0,2.95,0,1.47,17.91,11.4
"H1.1","H","H1","1",5,14,0.7,0,0,0,0,111,1,110,22,124,58,11.6,217,43.4,2226.79,45963,68.51,12.95,6.7,0,2.23,9.6,44.6
"H1.2","H","H1","2",5,0,0,0,0,0,0,82,1,81,16.2,81,25,5,91,18.2,2226.79,45963,68.51,12.95,6.7,0,2.23,9.6,44.6
"H1.3","H","H1","3",5,0,0,0,0,0,0,29,1,28,5.6,28,16,3.2,68,13.6,2226.79,45963,68.51,12.95,6.7,0,2.23,9.6,44.6
"H2.1","H","H2","1",5,3,0.6,0,0,0,0,72,2,70,14,73,33,6.6,74,14.8,2324.4,49291,65.89,16.01,6.42,0,2.43,9.25,6.8
"H2.2","H","H2","2",5,1,0.2,0,0,0,0,50,1,49,9.8,50,26,5.2,90,18,2324.4,49291,65.89,16.01,6.42,0,2.43,9.25,6.8
"H2.3","H","H2","3",5,6,1.2,0,0,0,0,34,1,33,6.6,39,19,3.8,64,12.8,2324.4,49291,65.89,16.01,6.42,0,2.43,9.25,6.8
"K1.1","K","K1","1",10,1,0.1,0,0,0,0,53,1,52,5.2,53,28,2.8,105,10.5,19.62,298,84.21,0,15.79,0,0,0,31.8
"K1.2","K","K1","2",10,1,0.1,0,0,0,0,54,2,52,5.2,53,30,3,113,11.3,19.62,298,84.21,0,15.79,0,0,0,31.8
"K1.3","K","K1","3",10,3,0.3,0,0,0,0,38,1,37,3.7,40,15,1.5,72,7.2,19.62,298,84.21,0,15.79,0,0,0,31.8
"K2.1","K","K2","1",10,0,0,0,0,0,0,40,2,38,3.8,38,14,1.4,93,9.3,21.06,319,84.21,0,15.79,0,0,0,31.8
"K2.2","K","K2","2",10,1,0.1,0,0,0,0,148,0,148,14.8,149,74,7.4,108,10.8,21.06,319,84.21,0,15.79,0,0,0,31.8
"K2.3","K","K2","3",10,0,0,0,0,0,0,31,2,29,2.9,29,15,1.5,62,6.2,21.06,319,84.21,0,15.79,0,0,0,31.8
"SB1.1","SB","SB1","1",10,11,1.1,0,0,0,0,113,2,111,11.1,122,56,5.6,132,13.2,222.64,3221,64.62,17.44,5.13,0,4.1,8.72,31.8
"SB1.2","SB","SB1","2",10,6,0.6,2,0.2,0,0,113,0,113,11.3,121,50,5,142,14.2,222.64,3221,64.62,17.44,5.13,0,4.1,8.72,31.8
"SB1.3","SB","SB1","3",10,7,0.7,0,0,0,0,51,1,50,5,57,24,2.4,113,11.3,222.64,3221,64.62,17.44,5.13,0,4.1,8.72,31.8
"SB2.1","SB","SB2","1",5,30,6,0,0,0,0,46,2,44,8.8,74,33,6.6,95,19,238.42,3387,66.99,16.27,4.78,0,3.83,8.13,5.4
"SB2.2","SB","SB2","2",5,0,0,0,0,0,0,28,1,27,5.4,27,7,1.4,66,13.2,238.42,3387,66.99,16.27,4.78,0,3.83,8.13,5.4
"SB2.3","SB","SB2","3",5,0,0,1,0.2,0,0,21,1,20,4,21,10,2,30,6,238.42,3387,66.99,16.27,4.78,0,3.83,8.13,5.4
"SC1.1","SC","SC1","1",5,0,0,0,0,0,0,71,1,70,14,70,31,6.2,182,36.4,898.66,91,1.89,0.47,0,94.9292,2.71,0,14.8
"SC1.2","SC","SC1","2",5,1,0.2,0,0,0,0,58,1,57,11.4,58,30,6,106,21.2,898.66,91,1.89,0.47,0,94.9292,2.71,0,14.8
"SC1.3","SC","SC1","3",5,0,0,0,0,0,0,72,1,71,14.2,71,34,6.8,83,16.6,898.66,91,1.89,0.47,0,94.9292,2.71,0,14.8
"SC2.1","SC","SC2","1",5,2,0.4,0,0,0,0,43,2,41,8.2,43,21,4.2,53,10.6,630.81,64,2.67,0.5,0,94.3333,2.5,0,14.8
"SC2.2","SC","SC2","2",5,2,0.4,0,0,0,0,25,1,24,4.8,26,17,3.4,62,12.4,630.81,64,2.67,0.5,0,94.3333,2.5,0,14.8
"SC2.3","SC","SC2","3",5,2,0.4,0,0,0,0,25,2,23,4.6,25,13,2.6,40,8,630.81,64,2.67,0.5,0,94.3333,2.5,0,14.8
