Sample Code,Seq,Drain,Site,Rep,Size,Vol L,Total Fragment Count,Fragment L,Total Film Count,Film L,Total Bead Count,Bead L,Total Fibre Count,Blank deduction,Total Fibre Blank Correction,Fibre L,Total MP Blank Correct,corrected counts,corrected counts perL,FP rate,corrected count across sizes,corrected count across sizes/L,catchment area ha,catchment population,residential proportion,industrial proportion,services proportion,agricultural proportion,natural proportion,public open,rainfall week prior mm
B1.1.1,1,B,B1,1,1,10,0,0,0,0,0,0,87,0,87,8.7,87,39,3.9,0.552,175,17.5,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.1.2,2,B,B1,1,2,10,0,0,0,0,0,0,115,2,113,11.3,113,64,6.4,0.434,175,17.5,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.1.3,3,B,B1,1,3,10,0,0,0,0,0,0,90,0,90,9,90,46,4.6,0.489,175,17.5,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.1.4,4,B,B1,1,4,10,1,0.1,0,0,0,0,51,0,51,5.1,52,26,2.6,0.5,175,17.5,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.2.1,5,B,B1,2,1,10,0,0,0,0,0,0,81,1,80,8,80,44,4.4,0.45,139,13.9,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.2.2,6,B,B1,2,2,10,0,0,0,0,0,0,108,1,107,10.7,107,58,5.8,0.458,139,13.9,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.2.3,7,B,B1,2,3,10,0,0,0,0,0,0,61,1,60,6,60,27,2.7,0.55,139,13.9,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.2.4,8,B,B1,2,4,10,1,0.1,0,0,0,0,18,1,17,1.7,18,10,1,0.444,139,13.9,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.3.1,9,B,B1,3,1,10,2,0.2,0,0,0,0,76,0,76,7.6,78,38,3.8,0.513,104,10.4,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.3.2,10,B,B1,3,2,10,0,0,0,0,0,0,71,1,70,7,70,35,3.5,0.5,104,10.4,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.3.3,11,B,B1,3,3,10,0,0,0,0,0,0,49,0,49,4.9,49,24,2.4,0.51,104,10.4,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B1.3.4,12,B,B1,3,4,10,0,0,0,0,0,0,21,2,19,1.9,19,7,0.7,0.632,104,10.4,1088.59,21039,57.9755,31.3906,10.5317,0,0,0.1022,31.2
B2.1.1,13,B,B2,1,1,10,0,0,0,0,0,0,50,1,49,4.9,49,25,2.5,0.49,85,8.5,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.1.2,14,B,B2,1,2,10,1,0.1,0,0,0,0,63,1,62,6.2,63,27,2.7,0.571,85,8.5,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.1.3,15,B,B2,1,3,10,0,0,0,0,0,0,57,1,56,5.6,56,26,2.6,0.536,85,8.5,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.1.4,16,B,B2,1,4,10,1,0.1,0,0,0,0,20,1,19,1.9,20,7,0.7,0.65,85,8.5,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.2.1,17,B,B2,2,1,10,1,0.1,0,0,0,0,30,0,30,3,31,15,1.5,0.516,95,9.5,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.2.2,18,B,B2,2,2,10,1,0.1,0,0,0,0,58,0,58,5.8,59,27,2.7,0.542,95,9.5,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.2.3,19,B,B2,2,3,10,2,0.2,0,0,0,0,84,1,83,8.3,85,40,4,0.529,95,9.5,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.2.4,20,B,B2,2,4,10,3,0.3,0,0,0,0,23,1,22,2.2,25,13,1.3,0.48,95,9.5,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.3.1,21,B,B2,3,1,10,6,0.6,0,0,0,0,94,2,92,9.2,98,50,5,0.49,156,15.6,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.3.2,22,B,B2,3,2,10,2,0.2,0,0,0,0,124,2,122,12.2,124,57,5.7,0.54,156,15.6,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.3.3,23,B,B2,3,3,10,0,0,0,0,0,0,86,2,84,8.4,84,40,4,0.524,156,15.6,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
B2.3.4,24,B,B2,3,4,10,0,0,0,0,0,0,24,1,23,2.3,23,9,0.9,0.609,156,15.6,1105.38,21372,57.7039,30.9164,11.1782,0,0.1007,0.1007,31.2
C1.1.1,25,C,C1,1,1,10,3,0.3,0,0,0,0,90,1,89,8.9,92,53,5.3,0.424,196,19.6,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.1.2,26,C,C1,1,2,10,1,0.1,0,0,0,0,161,1,160,16,161,83,8.3,0.484,196,19.6,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.1.3,27,C,C1,1,3,10,2,0.2,0,0,0,0,122,1,121,12.1,123,51,5.1,0.585,196,19.6,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.1.4,28,C,C1,1,4,10,2,0.2,0,0,0,0,21,1,20,2,22,9,0.9,0.591,196,19.6,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.2.1,29,C,C1,2,1,10,0,0,0,0,0,0,12,0,12,1.2,12,7,0.7,0.417,90,9,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.2.2,30,C,C1,2,2,10,0,0,0,0,0,0,82,1,81,8.1,81,39,3.9,0.519,90,9,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.2.3,31,C,C1,2,3,10,0,0,0,0,0,0,103,1,102,10.2,102,39,3.9,0.618,90,9,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.2.4,32,C,C1,2,4,10,0,0,0,0,0,0,14,1,13,1.3,13,5,0.5,0.615,90,9,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.3.1,33,C,C1,3,1,10,0,0,0,0,0,0,16,1,15,1.5,15,9,0.9,0.4,155,15.5,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.3.2,34,C,C1,3,2,10,0,0,0,0,1,0.1,92,1,91,9.1,92,45,4.5,0.511,155,15.5,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.3.3,35,C,C1,3,3,10,2,0.2,0,0,1,0.1,132,1,131,13.1,134,66,6.6,0.507,155,15.5,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C1.3.4,36,C,C1,3,4,10,5,0.5,0,0,0,0,74,2,72,7.2,77,35,3.5,0.545,155,15.5,1458.56,34370,77.6644,0,20.8617,0,1.4739,0,56.8
C2.1.1,37,C,C2,1,1,10,0,0,0,0,0,0,43,1,42,4.2,42,15,1.5,0.643,143,14.3,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.1.2,38,C,C2,1,2,10,0,0,0,0,0,0,123,2,121,12.1,121,52,5.2,0.57,143,14.3,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.1.3,39,C,C2,1,3,10,2,0.2,0,0,0,0,98,1,97,9.7,99,44,4.4,0.556,143,14.3,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.1.4,40,C,C2,1,4,10,0,0,0,0,0,0,74,1,73,7.3,73,32,3.2,0.562,143,14.3,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.2.1,41,C,C2,2,1,10,7,0.7,0,0,0,0,56,1,55,5.5,62,30,3,0.516,120,12,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.2.2,42,C,C2,2,2,10,3,0.3,0,0,0,0,106,1,105,10.5,108,60,6,0.444,120,12,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.2.3,43,C,C2,2,3,10,10,1,0,0,0,0,33,0,33,3.3,43,18,1.8,0.581,120,12,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.2.4,44,C,C2,2,4,10,4,0.4,0,0,0,0,22,2,20,2,24,12,1.2,0.5,120,12,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.3.1,45,C,C2,3,1,10,2,0.2,0,0,0,0,55,1,54,5.4,56,29,2.9,0.482,66,6.6,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.3.2,46,C,C2,3,2,10,1,0.1,0,0,0,0,48,1,47,4.7,48,18,1.8,0.625,66,6.6,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.3.3,47,C,C2,3,3,10,1,0.1,0,0,0,0,15,1,14,1.4,15,7,0.7,0.533,66,6.6,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
C2.3.4,48,C,C2,3,4,10,3,0.3,0,0,0,0,20,1,19,1.9,22,12,1.2,0.455,66,6.6,989.97,24548,76.8013,0.7126,20.5067,0,1.346,0,11.4
O1.1.1,49,O,O1,1,1,5,14,0.7,0,0,0,0,111,1,110,22,124,58,11.6,0.532,217,43.4,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.1.2,50,O,O1,1,2,5,4,0.2,0,0,0,0,194,2,192,38.4,196,83,16.6,0.577,217,43.4,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.1.3,51,O,O1,1,3,5,4,0.2,0,0,0,0,121,1,120,24,124,66,13.2,0.468,217,43.4,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.1.4,52,O,O1,1,4,5,0,0,0,0,0,0,23,1,22,4.4,22,10,2,0.545,217,43.4,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.2.1,53,O,O1,2,1,5,0,0,0,0,0,0,82,1,81,16.2,81,25,5,0.691,91,18.2,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.2.2,54,O,O1,2,2,5,0,0,0,0,0,0,78,2,76,15.2,76,38,7.6,0.5,91,18.2,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.2.3,55,O,O1,2,3,5,0,0,0,0,0,0,36,0,36,7.2,36,21,4.2,0.417,91,18.2,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.2.4,56,O,O1,2,4,5,0,0,0,0,0,0,14,0,14,2.8,14,7,1.4,0.5,91,18.2,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.3.1,57,O,O1,3,1,5,0,0,0,0,0,0,29,1,28,5.6,28,16,3.2,0.429,68,13.6,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.3.2,58,O,O1,3,2,5,0,0,0,0,0,0,67,2,65,13,65,31,6.2,0.523,68,13.6,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
O1.3.3,59,O,O1,3,3,5,2,0.4,0,0,0,0,28,1,27,5.4,29,12,2.4,0.586,68,13.6,2226.79,45963,68.5119,12.9507,16.0995,0,2.2346,0.2031,44.6
