Sample.Code,ï..sample,Drain,Site.Code,Repeat.Number,Filter.Size,Sample.Code,Total.Fragment.Count,Fragment.L,Total.Film.Count,Film.L,Total.Bead.Count,Bead.L,Total.Fibre.Count,Blank.deduction,Total.Fibre.Blank.Correction,Fibre.L,Total.MP.Blank.Correct,corrected_counts,corrected_counts_perL,corrected_count_across_sizes,corrected_count_across_sizes/L,catchment_area_ha,catchment_population,residential_proportion,industrial_proportion,services_proportion,agricultural_proportion,naturalenvironments_proportion,waterenvironment_proportion,production_proportion,transportation_proportion,waste_proportion,rainfall_week_prior_mm
B1.1.1,1,B,B1,1,1,B1.1.1,0,0,0,0,0,0,87,0,87,8.7,87,39,3.9,175,17.5,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
B1.1.2,2,B,B1,1,2,B1.1.2,0,0,0,0,0,0,115,2,113,11.3,113,64,6.4,,,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
B1.1.3,3,B,B1,1,3,B1.1.3,0,0,0,0,0,0,90,0,90,9,90,46,4.6,,,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
B1.1.4,4,B,B1,1,4,B1.1.4,1,0.1,0,0,0,0,51,0,51,5.1,52,26,2.6,,,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
B1.2.1,5,B,B1,2,1,B1.2.1,0,0,0,0,0,0,81,1,80,8,80,44,4.4,139,13.9,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
B1.2.2,6,B,B1,2,2,B1.2.2,0,0,0,0,0,0,108,1,107,10.7,107,58,5.8,,,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
B1.2.3,7,B,B1,2,3,B1.2.3,0,0,0,0,0,0,61,1,60,6,60,27,2.7,,,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
B1.2.4,8,B,B1,2,4,B1.2.4,1,0.1,0,0,0,0,18,1,17,1.7,18,10,1,,,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
B1.3.1,9,B,B1,3,1,B1.3.1,2,0.2,0,0,0,0,76,0,76,7.6,78,38,3.8,104,10.4,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
B1.3.2,10,B,B1,3,2,B1.3.2,0,0,0,0,0,0,71,1,70,7,70,35,3.5,,,1116,21748,58.39,31.23,9.97,0,0,0.31,0.1,0,0,31.2
